0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,262,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,497,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,269,206,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,267,174,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,18,221,170,75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,32,121,213,92,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,9,171,211,84,11,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,19,170,211,92,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,19,145,183,130,6,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,9,138,281,77,7,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,18,133,156,129,30,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,17,76,256,146,28,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,85,184,183,42,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,8,79,172,187,11,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,5,103,286,113,10,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,6,140,208,152,21,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,213,240,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,257,214,6,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,204,308,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,474,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,1
